data,_freq
1117013100|서울특별시 용산구 유엔빌리지길 53|로얄튼빌라,1
1117013100|서울특별시 용산구 한남대로27길 14|한남타워,1
1117013100|서울특별시 용산구 대사관로6길 26|한남로얄팰리스,1
1117013100|서울특별시 용산구 독서당로 108|유엔맨숀,1
1117013100|서울특별시 용산구 유엔빌리지길 289|트윈빌 비동,1
1117013100|서울특별시 용산구 장문로 141|한남힐스테이트,1
1117013100|서울특별시 용산구 독서당로 70|리버티하우스,1
1117013100|서울특별시 용산구 대사관로8길 9|오페라하우스WEST,1
1117013100|서울특별시 용산구 한남대로27길 42|대성 이태리하우스,1
1117013100|서울특별시 용산구 대사관로7길 8|뉴캐슬하우스,1
1117013100|서울특별시 용산구 한남대로27길 52|한남파라곤,1
1117013100|서울특별시 용산구 이태원로 217|현대안성타워,1
1117013100|서울특별시 용산구 대사관로 23|오페라하우스3차,1
1117013100|서울특별시 용산구 한남대로27길 60|한남해피트리,1
1117013100|서울특별시 용산구 대사관로7길 5|아일랜드캐슬,1
1117013100|서울특별시 용산구 한남대로28가길 5|한남하우스,1
1117013100|서울특별시 용산구 독서당로 22|한남동동원베네스트,1
1117013100|서울특별시 용산구 대사관로24길 8|태성1,1
1117013100|서울특별시 용산구 독서당로6길 16|리버탑,1
1117013100|서울특별시 용산구 독서당로34길 22|시범,1
1117013100|서울특별시 용산구 독서당로 73-4|한성1,1
1117013100|서울특별시 용산구 독서당로 46|한남아이파크애비뉴,1
1117013100|서울특별시 용산구 한남대로 60|한남동리첸시아,1
1117013100|서울특별시 용산구 독서당로 73|성아1,1
1117013100|서울특별시 용산구 대사관로31길 19-5|윌쏘나슈트,1
1117013200|서울특별시 용산구 장문로9길 66|LANCHLOT  HOUSE,1
1117013200|서울특별시 용산구 장문로 64|캠팩트클래식홈,1
1117013200|서울특별시 용산구 장문로 24|라이온즈,1
